reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,translated_content
0e8acc8c-3d2f-4f53-8ea7-1e438dde1c7f,Sandy Storey,https://play-lh.googleusercontent.com/a-/ALV-UjXA8URLuPIY0qQtQJuUk0pK1R_bvLAl5rqEJ_yklYw8fTPXUYkP,App works well and Yapikredi bank staff helpful.,5,0,4.0.29,2024-12-22 17:17:07,,,4.0.29,App works well and Yapikredi bank staff helpful.
19398c9b-cb45-408f-8c54-e75a1040ccfb,Onur Eti,https://play-lh.googleusercontent.com/a-/ALV-UjUP_Q_e7mTo3W8PKv-acOSUvyfS_4SgXlO6lKBnDISMoPKmSv83,Rezalet,1,0,4.0.29,2024-12-19 09:41:30,,,4.0.29,Disgrace
988176c0-dbe7-46ea-88b4-cce50c8e65cc,Hakan Çınar,https://play-lh.googleusercontent.com/a/ACg8ocJc_GtViklBdns8ysSH5JpBo2o-V7cjump04NUUmOdMISqDKQ=mo,belki tr nin en iyi bankası diyebilirim,5,0,4.0.29,2024-12-18 08:42:57,,,4.0.29,Maybe I can say it is the best bank in Turkey.
abe52870-5685-40c0-8930-3847f8c9a53a,Alper Camak,https://play-lh.googleusercontent.com/a/ACg8ocI8aw_a1H6ozWpujpFq76dO39uzW33-WxGsblyJ0Hqj1leqKA=mo,Good,4,0,4.0.29,2024-12-17 03:05:49,,,4.0.29,Good
58759a77-6f11-4573-bf38-092a063dbc48,Erce Doğan,https://play-lh.googleusercontent.com/a-/ALV-UjX8iYXlWLRAbB8Z144DFGh82h7xayy6zotXXtGER13V-ERNLeHt1g,Senelerdir kullandığım uygulamayı aynı telefondan root jailbreak hatasi yüzünden giremiyorum ve kullanamıyorum. Diğer banka uygulamaları çalışırken yapı kredi neden çalışmıyor.,1,0,4.0.29,2024-12-14 13:12:16,,,4.0.29,I can't access and use the application I have been using for years from the same phone due to the root jailbreak error. Why doesn't Yapı Kredi work while other bank applications work?
c8e892d1-5421-406f-9f88-f4db1f569693,Gulhan Temiz,https://play-lh.googleusercontent.com/a-/ALV-UjX3sRERP7uulssP137smNKrPME6jDD_sUMBHEOAjTujzpGalnY8,Super comfortable to use it.,5,0,4.0.29,2024-12-13 09:51:17,,,4.0.29,Super comfortable to use it.
53304f83-d721-42ad-855d-703b87890989,Vinay Gupta,https://play-lh.googleusercontent.com/a/ACg8ocKXIg24oiYsyExBHRmLr2dukyOTAotifS_prhtEUEPijnwpFQ=mo,too good,5,0,4.0.29,2024-12-07 17:24:51,,,4.0.29,too good
cfec82a5-5064-4a6e-9e3a-9aac6690fb53,Maureen Radam Salem,https://play-lh.googleusercontent.com/a/ACg8ocIcRlQZHfFGu-CRYpOMYtbgnhoskdvwIf_Q7-zwDqwAsjMnqA=mo,perfect 👌,5,0,4.0.29,2024-12-07 12:16:06,,,4.0.29,perfect 👌
be41d2d5-7946-419a-bbe6-1e65b48a0616,Philippe Smith,https://play-lh.googleusercontent.com/a/ACg8ocIS96EZyzn1aJOW91g4Gz2xEwVYPNwQza6yixLsBFyxIoJd3w=mo,ok,5,0,4.0.29,2024-12-07 09:27:15,,,4.0.29,ok
d1bcc501-044a-42eb-810e-f5516e25ae70,ssa allt,https://play-lh.googleusercontent.com/a/ACg8ocJgpmuAjIw6EfW9JIFALiSxz08HcYEAxkTZjZeu33HxnUx3ti8=mo,bakım var diye uygulamaya girip işlem yapamamak nedir yıl olmuş 2024 uğraştığımız saçmalıklara bak,1,0,4.0.29,2024-12-07 00:45:02,,,4.0.29,"What is it like to be unable to enter the application and perform any transactions because there is maintenance? It is 2024, look at the nonsense we are dealing with."
48e92cf4-f7b7-453a-bf02-30d88b115176,Keter Hussein,https://play-lh.googleusercontent.com/a/ACg8ocJ3hoQdWXDcb_TBM0g7oA7tmwYuWEtEi3OISyJCr36GMLnYxw=mo,It is the best,5,0,4.0.29,2024-12-06 17:37:42,,,4.0.29,It is the best
c3c40a0f-b1e6-48bf-88f0-958ef2202e85,Boşbeyin W10,https://play-lh.googleusercontent.com/a/ACg8ocJI-P4YZ-Uj7olivDtC2sx6G-ps_9vjdkpZYmjcjOYHKnCbaQ=mo,Rot Var Diyor Açmıyor Rot Ne Yok Balans Motor Sıkıştırma Oranı ? Çöp Aplikasyon Zaman İsrafı Elektrik İsrafı İşgücü İsrafı İnternet İsrafı Ben Bu İnternete Para Veriyorum,1,0,,2024-12-05 19:27:46,,,,It says there is a rod but it does not open. What is there no rod? Balance Engine Compression Ratio? Garbage Application Waste of Time Waste of Electricity Waste of Labor Waste of Internet I Pay Money for This Internet
